Ticker,Nombre,Sector,ETF Sector,Precio Actual,RSC Mansfield Activo,Momentum (MOM),RSC Mansfield Sector,VPM5,Distancia % WMA30,Dirección Coppock SP500
FANG,Diamondback Energy,Energy,XLE,192.13,0.9737,0.0436,0.7611,0.058,4.36,↑ Alcista
DVN,Devon Energy,Energy,XLE,45.31,0.6375,0.0008,0.7611,0.9383,0.08,↑ Alcista
