Ticker,Sector,Fecha Entrada,Precio Entrada,Nº Acciones,Capital Invertido,Fecha Salida,Precio Salida,Motivo Salida,Semanas en Pos.,Retorno %,P&L USD
ADI,Information Technology,2021-08-09,156.26748657226562,4.2662,666.67,2021-08-30,149.87850952148438,S1_rsc_debil,3,-4.09,-27.26
BKR,Energy,2021-10-18,22.04873275756836,30.1536,664.85,2021-11-15,20.32439613342285,S1_rsc_debil,4,-7.82,-52.0
AXP,Financials,2021-08-09,156.2866973876953,4.2657,666.67,2021-11-22,147.93959045410156,S1_rsc_debil,15,-5.34,-35.61
HBAN,Financials,2021-08-09,12.144899368286133,54.8927,666.67,2021-11-22,12.444225311279297,S1_rsc_debil,15,2.46,16.43
O,Real Estate,2021-10-18,54.35706329345703,11.9971,652.13,2021-12-06,52.695091247558594,S1_rsc_debil,7,-3.06,-19.94
EBAY,Consumer Discretionary,2021-11-15,68.55550384521484,8.9395,612.85,2021-12-06,61.60266876220703,S1_rsc_debil,3,-10.14,-62.16
CFG,Financials,2021-08-09,36.69825744628906,18.1662,666.67,2021-12-13,37.571617126464844,S1_rsc_debil,18,2.38,15.87
ADBE,Information Technology,2021-10-18,643.5800170898438,1.033,664.85,2021-12-13,556.6400146484375,S1_rsc_debil,8,-13.51,-89.81
BKR,Energy,2021-12-06,22.92916488647461,28.5502,654.63,2021-12-27,21.685367584228516,S1_rsc_debil,3,-5.42,-35.51
ADI,Information Technology,2021-10-18,164.622802734375,4.0386,664.85,2022-01-03,156.38027954101562,S1_rsc_debil,11,-5.01,-33.29
NKE,Consumer Discretionary,2021-10-18,150.74851989746094,4.4103,664.85,2022-01-10,136.8856658935547,S1_rsc_debil,12,-9.2,-61.14
LH,Health Care,2021-12-27,256.5189208984375,2.4136,619.12,2022-01-10,225.3898162841797,S1_rsc_debil,2,-12.14,-75.13
APH,Information Technology,2021-08-09,35.3615608215332,18.8529,666.67,2022-01-31,37.805152893066406,S2_mercado_bajista,25,6.91,46.07
KIM,Real Estate,2021-08-09,17.689592361450195,37.6869,666.67,2022-01-31,19.41632843017578,S2_mercado_bajista,25,9.76,65.08
BEN,Financials,2021-08-09,25.578977584838867,26.0631,666.67,2022-01-31,24.724634170532227,S2_mercado_bajista,25,-3.34,-22.27
EOG,Energy,2021-08-09,53.69847106933594,12.415,666.67,2022-01-31,92.9744873046875,S2_mercado_bajista,25,73.14,487.61
CB,Financials,2021-08-30,171.50656127929688,3.8765,664.85,2022-01-31,194.781982421875,S2_mercado_bajista,22,13.57,90.23
