Ticker,Precio Actual,RSC Mansfield,S1 RSC < -0.5,S3 Coppock Bajista,SALIDA,Motivo,Error,Sector,Precio Entrada,Rentabilidad %
XOM,147.01,0.5168,False,False,False,—,,Energy,154.08,-4.59
OXY,56.54,0.8106,False,False,False,—,,Energy,59.13,-4.38
DVN,45.31,0.6375,False,False,False,—,,Energy,46.99,-3.58
FANG,192.13,0.9737,False,False,False,—,,Energy,199.22,-3.56
CVX,187.22,0.3806,False,False,False,—,,Energy,192.79,-2.89
COP,116.98,0.5431,False,False,False,—,,Energy,119.68,-2.26
BKR,63.14,1.1225,False,False,False,—,,Energy,62.95,0.3
