Ticker,Precio Actual,RSC Mansfield,S1 RSC < -0.5,S3 Coppock Bajista,SALIDA,Motivo,Error,Sector,Precio Entrada,Rentabilidad %
OXY,51.82,-0.1666,False,False,False,—,,Energy,59.13,-12.36
XOM,137.81,-0.2297,False,False,False,—,,Energy,154.08,-10.56
DVN,42.12,-0.1333,False,False,False,—,,Energy,46.99,-10.36
COP,107.74,-0.3668,False,False,False,—,,Energy,119.68,-9.98
CVX,173.63,-0.4548,False,False,False,—,,Energy,192.79,-9.94
FANG,183.5,0.383,False,False,False,—,,Energy,199.22,-7.89
BKR,58.41,0.1595,False,False,False,—,,Energy,62.95,-7.21
