Ticker,Precio Actual,RSC Mansfield,S1 RSC < -0.5,S3 Coppock Bajista,SALIDA,Motivo,Error,Sector,Precio Entrada,Rentabilidad %
DVN,44.28,0.476,False,False,False,—,,Energy,46.99,-5.77
OXY,56.93,0.9062,False,False,False,—,,Energy,59.13,-3.72
FANG,192.62,1.0781,False,False,False,—,,Energy,199.22,-3.31
CVX,187.31,0.4673,False,False,False,—,,Energy,192.79,-2.84
XOM,149.92,0.812,False,False,False,—,,Energy,154.08,-2.7
COP,117.14,0.6263,False,False,False,—,,Energy,119.68,-2.12
BKR,62.59,1.1551,False,False,False,—,,Energy,62.95,-0.57
