Ticker,Precio Actual,RSC Mansfield,S1 RSC < -0.5,S3 Coppock Bajista,SALIDA,Motivo,Error,Sector,Precio Entrada,Rentabilidad %
XOM,145.26,0.2409,False,False,False,—,,Energy,154.08,-5.72
CVX,182.46,-0.0445,False,False,False,—,,Energy,192.79,-5.36
DVN,44.49,0.279,False,False,False,—,,Energy,46.99,-5.32
COP,113.98,0.0952,False,False,False,—,,Energy,119.68,-4.76
